condition,stage_id,n_cells,mean_gfp,median_gfp,std_gfp,min_gfp,max_gfp,strain,glucose
BE0,1,348,38.748249712108546,56.25662645326376,159.45188916705158,-431.3638797283041,345.40607428488465,A,100.0
BE0,10,335,42.86099975857729,50.68522413083888,107.67554970913736,-254.04067394869418,249.99594181798102,C,2.5
BE0,11,194,32.24030002427755,40.953148252184675,153.4073421747904,-473.5856959524144,279.08664858540067,B,10.0
BE0,12,238,40.5535502081992,48.32894168141975,103.94051298879367,-279.7710330628779,241.26032982710572,C,1.0
BE0,2,360,44.68829444582571,49.314883224333386,110.31515824646972,-240.54390888245177,243.46349705082375,B,2.5
BE0,3,208,47.28056211277452,68.17459154047873,161.8819026077988,-442.7965531480512,305.18922915514975,A,10.0
BE0,4,252,50.19425875330652,51.71585213420853,127.54105523404904,-331.3183182398734,282.4314006653243,B,1.0
BE0,5,188,61.17300898345678,78.04788740386039,203.56349511805573,-625.1721764897065,388.00861100629044,A,2.5
BE0,6,402,30.541074785624385,36.60347112315897,111.02394698663734,-292.85123219822646,262.80872564144045,C,100.0
BE0,7,81,80.62508789208849,105.09468571927036,221.90017541130746,-547.7119725268502,386.6315568849146,A,1.0
BE0,8,344,33.801275849748635,41.263414614570316,82.5673385353214,-207.19404767622532,177.53938191121887,C,10.0
BE0,9,245,58.090018350112466,69.3937352407238,166.2936586898048,-429.34177620123927,332.2996703347692,B,100.0
BE10,1,386,17.39671033813777,26.30338541688598,163.88689507858209,-428.4586197640482,291.63967364497984,A,100.0
BE10,10,320,241.72568493641043,220.85985460215923,227.30558699513497,-218.1321593081716,979.9984167367878,C,2.5
BE10,11,163,89.19614307614795,57.666832177602394,185.22675924646435,-454.14940609249146,565.7291956334118,B,10.0
BE10,12,283,299.5466697470776,259.8867678799286,263.1989267061516,-142.83432339171102,1658.8205595784264,C,1.0
BE10,2,148,130.93867770366154,136.3355283174203,182.20532080607504,-344.8007597075774,453.1440962595008,B,2.5
BE10,3,237,33.141310695245735,41.20567313737888,189.90656428006736,-491.15114197733095,357.27811895781247,A,10.0
BE10,4,168,291.53341299629426,240.6714610751207,258.0377690214945,-228.28139698738516,1282.0398101001012,B,1.0
BE10,5,124,80.27779486573945,126.4388945957578,244.90585596071418,-680.4636814466209,473.40524032927766,A,2.5
BE10,6,423,64.62488763610932,74.10413920914118,134.5145648231638,-368.73783215929933,382.57137922742197,C,100.0
BE10,7,158,74.52416032689378,101.1855456636857,213.1203238020878,-548.1053516165732,415.19310388636023,A,1.0
BE10,8,321,174.40657213489132,156.9653724826865,192.11040229381027,-212.70917994698107,1047.1998262641996,C,10.0
BE10,9,81,103.92080653759488,119.2249758240269,170.81458073364962,-515.4322182363929,398.26009551794135,B,100.0
BE20,1,341,81.34189739576318,95.20198746966004,164.80803258570427,-467.3811297667168,470.57088481322955,A,100.0
BE20,10,378,669.2015311393445,622.2457241639645,377.5661299205839,-137.00535990513458,1798.9809585028258,C,2.5
BE20,11,62,279.2297225955744,275.90545877602324,176.5889274148795,-348.902490670817,623.4156475925129,B,10.0
BE20,12,314,1920.9962878994293,1802.3837867156356,1101.5423584956204,-157.2425270933068,6171.012229777728,C,1.0
BE20,2,261,546.0594472782346,512.0170462729739,265.6896354508387,-88.91386415113388,1436.9230425475994,B,2.5
BE20,3,273,183.17780888000868,186.09388915531997,216.67059463630596,-519.0644118478709,904.16363043766,A,10.0
BE20,4,361,669.9780234731833,649.0008556800834,316.7248346362492,-292.62248386103965,1794.2183439635326,B,1.0
BE20,5,124,309.87027049798127,295.49222462421716,275.3113162834966,-268.6967824174391,1107.0054908875686,A,2.5
BE20,6,312,509.2846103843769,457.03825529733757,417.52513593916126,-236.49769262910604,2266.7624176650115,C,100.0
BE20,7,188,339.71358621403766,317.1428884188007,256.527582463908,-208.64571158499487,1329.315602229252,A,1.0
BE20,8,386,695.8779931422531,680.5785743317932,435.0388770835577,-249.35622441977173,2040.8384225346663,C,10.0
BE20,9,177,351.76361973430846,312.9144381761511,310.73635707277566,-310.8079763107703,1379.7250504210494,B,100.0
BE40,1,217,525.745825353009,488.1206131710122,329.3233052134708,-383.47683344518947,1730.633753556907,A,100.0
BE40,10,253,2229.4890131276215,2154.8149329660464,1272.7287474293228,-196.74062258950903,9335.078064279178,C,2.5
BE40,11,137,1136.581371321017,1169.325602970918,635.2418627636875,-351.4312768138949,3686.1426089362612,B,10.0
BE40,12,128,1453.1504195265736,1390.694723375758,626.355695911662,-14.335061186789506,2991.276339984327,C,1.0
BE40,2,134,1691.3963773013738,1645.7229755083972,759.8731658033468,-201.11369474400715,3519.9900651324797,B,2.5
BE40,3,222,532.5544472715236,509.6835618030913,328.5012874547876,-341.9785895584136,2234.7845210033884,A,10.0
BE40,4,183,1075.2096531911973,1052.0806605942753,518.2430527459632,-152.02183940572445,2499.662519765419,B,1.0
BE40,5,153,578.8026062861711,579.9453948291222,305.45485209774546,-191.39413749232628,1306.9203396569958,A,2.5
BE40,6,463,1265.9571985348373,1200.665478533736,812.5743681424481,-286.0292842806545,4261.793278077622,C,100.0
BE40,7,462,1141.6093408650622,1111.8199451721562,757.5144605293467,-320.91222709398363,4036.187295998387,A,1.0
BE40,8,183,758.8752221749173,777.1165650871803,387.47291254062395,-255.02344496401818,2041.4633603453683,C,10.0
BE40,9,237,504.3638462320185,493.7152412659397,243.99686654978487,-252.94418800298456,1317.891155678592,B,100.0
BE5,1,460,29.385056262308776,40.97615728947973,160.08450733380153,-418.92608043891056,309.1544613643857,A,100.0
BE5,10,306,74.0969387154582,94.59662262270587,159.46262140040741,-550.368445928561,358.1696714579286,C,2.5
BE5,11,47,99.39658305687989,92.77720972195804,183.95621931565645,-350.78901676863825,410.9374130625535,B,10.0
BE5,12,273,29.93965436013634,41.262687050960395,150.3416062193174,-430.75318596491263,318.27492381817723,C,1.0
